Age,Word,Lexical_Class,MCDIp,LogFreq,ProKWo
16,a,function_words,0.035564854,4.432119101,0.093587561
17,a,function_words,0.043956044,4.466571072,0.106887602
18,a,function_words,0.07918552,4.535028144,0.171016303
19,a,function_words,0.1036585,4.580457373,0.220025328
20,a,function_words,0.1167883,4.635242405,0.243169211
21,a,function_words,0.1773399,4.677962637,0.273148016
22,a,function_words,0.28,4.714002658,0.379545093
23,a,function_words,0.2977099,4.749280144,0.42615901
24,a,function_words,0.348199,4.827802059,0.464043514
25,a,function_words,0.3693694,4.864344926,0.512666515
26,a,function_words,0.4751381,4.897462138,0.586079211
27,a,function_words,0.5487179,4.932980822,0.610526861
28,a,function_words,0.6022585,4.965864635,0.72830262
29,a,function_words,0.6010101,5.011857905,0.675851391
30,a,function_words,0.7084746,5.046499066,0.778481869
16,about,function_words,0.00209205,3.410439786,0.071930937
17,about,function_words,0,3.445292769,0.080754517
18,about,function_words,0,3.512284063,0.125490022
19,about,function_words,0.009146341,3.54961624,0.1694351
20,about,function_words,0.01824818,3.588159616,0.186231211
21,about,function_words,0.01970443,3.623662707,0.212760564
22,about,function_words,0.04,3.648847708,0.320578502
23,about,function_words,0.05725191,3.670153045,0.361307541
24,about,function_words,0.05660377,3.738304793,0.399076495
25,about,function_words,0.0990991,3.764997599,0.446843448
26,about,function_words,0.1325967,3.788097633,0.534697658
27,about,function_words,0.0974359,3.813380807,0.556857447
28,about,function_words,0.2333752,3.840670561,0.68300713
29,about,function_words,0.2575758,3.878464345,0.628318944
30,about,function_words,0.3050847,3.911264171,0.738160693
16,above,function_words,0.003138075,1.380211242,0.0386886
17,above,function_words,0.007326007,1.51851394,0.047977385
18,above,function_words,0.00678733,1.531478917,0.084191778
19,above,function_words,0.01219512,1.531478917,0.123183705
20,above,function_words,0.03284672,1.579783597,0.144300955
21,above,function_words,0.02955665,1.643452676,0.172834828
22,above,function_words,0.05,1.672097858,0.267601626
23,above,function_words,0.06870229,1.69019608,0.316585162
24,above,function_words,0.0806175,1.716003344,0.35941706
25,above,function_words,0.1351351,1.716003344,0.406128756
26,above,function_words,0.1657459,1.740362689,0.491594317
27,above,function_words,0.1897436,1.792391689,0.513708087
28,above,function_words,0.238394,1.826074803,0.641891943
29,above,function_words,0.2575758,1.86332286,0.594731095
30,above,function_words,0.3016949,1.903089987,0.708590327
16,all,function_words,0.05753138,3.634678752,0.062892032
17,all,function_words,0.04395604,3.663606708,0.072727542
18,all,function_words,0.08597285,3.724603515,0.116575752
19,all,function_words,0.1189024,3.760874638,0.158198069
20,all,function_words,0.120438,3.79844346,0.175584007
21,all,function_words,0.1182266,3.833019547,0.200021203
22,all,function_words,0.255,3.868056362,0.304953612
23,all,function_words,0.2938931,3.899054068,0.350414758
24,all,function_words,0.3893654,3.98141084,0.388079994
25,all,function_words,0.3963964,4.013258665,0.435795092
26,all,function_words,0.4972376,4.042339205,0.526099167
27,all,function_words,0.5692308,4.06699642,0.542436769
28,all,function_words,0.6913425,4.100783962,0.673426449
29,all,function_words,0.6414141,4.143077284,0.618231274
30,all,function_words,0.7389831,4.178170885,0.728299666
16,alligator,nouns,0.0292887,1.491361694,0.071935661
17,alligator,nouns,0.04761905,1.491361694,0.077223323
18,alligator,nouns,0.09728507,1.51851394,0.139246324
19,alligator,nouns,0.1341463,1.568201724,0.175798695
20,alligator,nouns,0.1751825,1.633468456,0.195365403
21,alligator,nouns,0.2118227,1.799340549,0.2280139
22,alligator,nouns,0.285,1.982271233,0.335942408
23,alligator,nouns,0.3816794,2.041392685,0.386593716
24,alligator,nouns,0.4614065,2.164352856,0.425548263
25,alligator,nouns,0.5045045,2.190331698,0.465731218
26,alligator,nouns,0.5966851,2.23299611,0.548855564
27,alligator,nouns,0.5794872,2.238046103,0.572790192
28,alligator,nouns,0.7979925,2.326335861,0.69367234
29,alligator,nouns,0.7171717,2.408239965,0.636819076
30,alligator,nouns,0.7898305,2.434568904,0.748532014
16,am,function_words,0.0041841,2.392696953,0.059351388
17,am,function_words,0.003663004,2.413299764,0.066892373
18,am,function_words,0.0158371,2.465382851,0.115652628
19,am,function_words,0.03963415,2.514547753,0.157398037
20,am,function_words,0.04744526,2.57863921,0.175070318
21,am,function_words,0.07389163,2.620136055,0.200695514
22,am,function_words,0.11,2.64738297,0.303951696
23,am,function_words,0.1603053,2.680335513,0.354679504
24,am,function_words,0.1972556,2.737987326,0.401730961
25,am,function_words,0.2342342,2.795880017,0.450738617
26,am,function_words,0.3480663,2.85308953,0.537161523
27,am,function_words,0.4,2.890421019,0.563473577
28,am,function_words,0.4830615,2.925827575,0.691477793
29,am,function_words,0.469697,2.978636948,0.634612602
30,am,function_words,0.579661,3.022840611,0.747192567
16,an,function_words,0.003138075,2.890979597,0.083454557
17,an,function_words,0,2.932473765,0.096337196
18,an,function_words,0.002262443,3.020361283,0.152833981
19,an,function_words,0.01219512,3.075546961,0.204776621
20,an,function_words,0.01459854,3.13001195,0.229034318
21,an,function_words,0.01477833,3.182129214,0.260060561
22,an,function_words,0.035,3.241795431,0.359235036
23,an,function_words,0.04198473,3.293362555,0.404351649
24,an,function_words,0.04802744,3.402433346,0.440688128
25,an,function_words,0.09309309,3.437592032,0.486476209
26,an,function_words,0.1381215,3.474653253,0.563537561
27,an,function_words,0.1487179,3.513883186,0.59031146
28,an,function_words,0.1668758,3.561697533,0.705349513
29,an,function_words,0.1868687,3.611404638,0.657200334
30,an,function_words,0.2474576,3.652246341,0.757405884
16,and,function_words,0.01046025,4.259808823,0.060456624
17,and,function_words,0.01098901,4.287644997,0.069625503
18,and,function_words,0.02036199,4.351197,0.113635959
19,and,function_words,0.06097561,4.384514699,0.153734466
20,and,function_words,0.06934307,4.423851824,0.17161515
21,and,function_words,0.08866995,4.459241665,0.19929887
22,and,function_words,0.185,4.494154594,0.301775134
23,and,function_words,0.278626,4.528183692,0.346782248
24,and,function_words,0.3156089,4.61661203,0.383206072
25,and,function_words,0.3693694,4.647901076,0.431501467
26,and,function_words,0.441989,4.679318855,0.518676068
27,and,function_words,0.5025641,4.705923552,0.543603833
28,and,function_words,0.6436637,4.738812258,0.667755302
29,and,function_words,0.6161616,4.77978402,0.620571371
30,and,function_words,0.7186441,4.810366954,0.728004801
16,animal,nouns,0.05439331,2.298853076,0.070446046
17,animal,nouns,0.06593407,2.336459734,0.08074431
18,animal,nouns,0.1447964,2.423245874,0.125926973
19,animal,nouns,0.222561,2.471291711,0.172844583
20,animal,nouns,0.2554745,2.503790683,0.190768694
21,animal,nouns,0.3054187,2.542825427,0.217060712
22,animal,nouns,0.44,2.604226053,0.316034483
23,animal,nouns,0.4885496,2.63447727,0.36268639
24,animal,nouns,0.5591767,2.756636108,0.393463374
25,animal,nouns,0.5525526,2.782472624,0.442293234
26,animal,nouns,0.6629834,2.805500858,0.524755922
27,animal,nouns,0.6974359,2.836956737,0.556695878
28,animal,nouns,0.8055207,2.860936621,0.67464869
29,animal,nouns,0.7272727,2.911690159,0.627113046
30,animal,nouns,0.8305085,2.927370363,0.735448512
16,ankle,nouns,0.00209205,0.698970004,0.143933054
17,ankle,nouns,0.01098901,0.698970004,0.156776557
18,ankle,nouns,0.03846154,0.77815125,0.292501616
19,ankle,nouns,0.07012195,0.77815125,0.332317073
20,ankle,nouns,0.08029197,0.903089987,0.264294404
21,ankle,nouns,0.1231527,0.954242509,0.286583599
22,ankle,nouns,0.115,1,0.42
23,ankle,nouns,0.1793893,1.204119983,0.406151774
24,ankle,nouns,0.1852487,1.380211242,0.448978931
25,ankle,nouns,0.2432432,1.447158031,0.488541173
26,ankle,nouns,0.2928177,1.447158031,0.569836193
27,ankle,nouns,0.2974359,1.462397998,0.592484527
28,ankle,nouns,0.4880803,1.477121255,0.73019657
29,ankle,nouns,0.3636364,1.505149978,0.665088384
30,ankle,nouns,0.5050847,1.531478917,0.774393742
16,another,function_words,0.01359833,3.047274867,0.103037235
17,another,function_words,0.01098901,3.098297536,0.11298639
18,another,function_words,0.04524887,3.155336037,0.183105626
19,another,function_words,0.07317073,3.219584526,0.23106461
20,another,function_words,0.06569343,3.294245716,0.251901487
21,another,function_words,0.07389163,3.339053736,0.279171439
22,another,function_words,0.2,3.377852419,0.383246137
23,another,function_words,0.1946565,3.420285885,0.429633896
24,another,function_words,0.2624357,3.495960395,0.469451486
25,another,function_words,0.3333333,3.550961752,0.515830918
26,another,function_words,0.4309392,3.591509809,0.588219213
27,another,function_words,0.3692308,3.62930764,0.609827272
28,another,function_words,0.5708908,3.668758542,0.730803795
29,another,function_words,0.520202,3.714999967,0.675512529
30,another,function_words,0.6271186,3.748653093,0.777806909
16,ant,nouns,0.05020921,1.176091259,0.081268104
17,ant,nouns,0.06593407,1.447158031,0.068100913
18,ant,nouns,0.158371,1.505149978,0.124407131
19,ant,nouns,0.2012195,1.62324929,0.161649551
20,ant,nouns,0.2554745,1.698970004,0.20207799
21,ant,nouns,0.2463054,1.755874856,0.216157635
22,ant,nouns,0.34,1.838849091,0.329583333
23,ant,nouns,0.4389313,1.875061263,0.379713162
24,ant,nouns,0.4974271,2.004321374,0.424698283
25,ant,nouns,0.5525526,2.012837225,0.476556557
26,ant,nouns,0.640884,2.029383778,0.565880496
27,ant,nouns,0.6615385,2.071882007,0.588939916
28,ant,nouns,0.7841907,2.079181246,0.713927227
29,ant,nouns,0.7020202,2.155336037,0.651469098
30,ant,nouns,0.840678,2.176091259,0.763507738
16,any,function_words,0.0041841,3.22685757,0.054553502
17,any,function_words,0,3.23578087,0.06011707
18,any,function_words,0.00678733,3.287577809,0.096288843
19,any,function_words,0.02743902,3.303627976,0.135680542
20,any,function_words,0.02554745,3.319730494,0.151140021
21,any,function_words,0.02955665,3.343802333,0.176880522
22,any,function_words,0.09,3.364738555,0.272396426
23,any,function_words,0.09160305,3.379124146,0.315123716
24,any,function_words,0.1509434,3.475089803,0.345056721
25,any,function_words,0.2042042,3.495405563,0.396633902
26,any,function_words,0.3259669,3.512150537,0.486381106
27,any,function_words,0.3384615,3.528016341,0.50957615
28,any,function_words,0.4378921,3.54961624,0.631640635
