concept,animal
accordion,0
airplane,0
alligator,1
ambulance,0
anchor,0
ant,1
apartment,0
apple,0
apron,0
armour,0
ashtray,0
asparagus,0
avocado,0
axe,0
bag,0
bagpipe,0
ball,0
balloon,0
banana,0
banjo,0
banner,0
barn,0
barrel,0
basement,0
basket,0
bat_(animal),1
bat_(baseball),0
bathtub,0
baton,0
bayonet,0
bazooka,0
beans,0
bear,1
beaver,1
bed,0
bedroom,0
beehive,0
beetle,1
beets,0
belt,0
bench,0
bike,0
bin_(waste),0
birch,0
biscuit,0
bison,1
blackbird,1
blender,0
blouse,0
blueberry,0
bluejay,1
board_(black),0
board_(wood),0
boat,0
bolts,0
bomb,0
book,0
bookcase,0
boots,0
bottle,0
bouquet,0
bow_(ribbon),0
bow_(weapon),0
bowl,0
box,0
bra,0
bracelet,0
bread,0
brick,0
bridge,0
broccoli,0
broom,0
brush,0
bucket,0
buckle,0
budgie,1
buffalo,1
buggy,0
building,0
bull,1
bullet,0
bungalow,0
bureau,0
bus,0
butterfly,1
buzzard,1
cabbage,0
cabin,0
cabinet,0
cage,0
cake,0
calf,1
camel,1
camisole,0
canary,1
candle,0
cannon,0
canoe,0
cantaloupe,0
cap_(bottle),0
cap_(hat),0
cape,0
car,0
card_(greeting),0
caribou,1
carpet,0
carrot,0
cart,0
cat,1
catapult,0
caterpillar,0
catfish,1
cathedral,0
cauliflower,0
cedar,0
celery,0
cellar,0
cello,0
certificate,0
chain,0
chair,0
chandelier,0
chapel,0
cheese,0
cheetah,1
cherry,0
chickadee,1
chicken,1
chimp,1
chipmunk,1
chisel,0
church,0
cigar,0
cigarette,0
clam,1
clamp,0
clarinet,0
cloak,0
clock,0
closet,0
coat,0
cockroach,1
coconut,0
cod,1
coin,0
colander,0
comb,0
cork,0
corkscrew,0
corn,0
cottage,0
couch,0
cougar,1
cow,1
coyote,1
crab,1
cranberry,0
crane_(machine),0
crayon,0
crocodile,1
crossbow,0
crow,0
crowbar,0
crown,0
cucumber,0
cup,0
cupboard,0
curtains,0
cushion,0
dagger,0
dandelion,0
deer,1
desk,0
dish,0
dishwasher,0
dog,1
doll,0
dolphin,1
donkey,1
door,0
doorknob,0
dove,1
drain,0
drapes,0
dress,0
dresser,0
drill,0
drum,0
duck,1
dunebuggy,0
eagle,1
earmuffs,0
eel,1
eggplant,0
elephant,1
elevator,0
elk,1
emerald,0
emu,1
envelope,0
escalator,0
